"","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","PD-L1"
"B cells naive",1,0.190536209568349,-0.00485040755526341,-0.0816091197255132,0.129645813965194,0.0803751722709504,-0.235824429033751,0.0121496941569471,0.193071346118306,-0.106214558502646,-0.118631777509727,-0.0534077708962802,-0.0404973325706855,-0.115970561194279,-0.180328989177664,-0.250329798300063,-0.117791277758539,0.0134635797477481,0.0282360289023567,-0.100338891084942,-0.121781614431549,-0.116226327163335,-0.118004716452189
"B cells memory",0.190536209568349,1,0.0529416772355502,0.0114684070548436,0.17725298259357,-0.0382298615962961,-0.149040608740599,0.00517056869293139,0.200407667074197,-0.0185146174012421,-0.133874586347021,0.014966706595097,-0.0473506699342342,-0.163897220509777,-0.185860754356673,-0.243403040551963,-0.0783382440554167,0.0771229008865051,0.0499338061278111,-0.136125738418099,-0.0551073712181014,-0.110427455422791,-0.0386249331465972
"Plasma cells",-0.00485040755526341,0.0529416772355502,1,0.00966294225053385,-0.0538124084662282,-0.00619677710617773,-0.0691952094769149,-0.0350637933280327,-0.00980296119697222,-0.0665691196210139,-0.0579407084226721,-0.0456665291940935,-0.0570405862623379,-0.173418220137707,-0.110787412039012,-0.269042883385107,-0.00724469976764025,0.0419578386955686,-0.061055489147201,-0.13385178344573,-0.0775868511259836,-0.103871387749023,0.0207483950534743
"T cells CD8",-0.0816091197255132,0.0114684070548436,0.00966294225053385,1,-0.000972754120146843,-0.520063456562014,0.402265977748307,0.217190530977512,0.193534628972628,0.0215539579171146,-0.138912415418551,0.0952486840584213,0.0221446326037369,-0.434110946565446,0.262566190242711,-0.139848836637182,0.0589499536569563,-0.0655459724483415,0.019729816601837,-0.324872922664852,-0.111611122781091,-0.291911161967559,0.111890634396076
"T cells CD4 naive",0.129645813965194,0.17725298259357,-0.0538124084662282,-0.000972754120146843,1,0.0056393141816145,-0.030448671940918,-0.0577948448124724,0.104641775587271,-0.0206308626458404,0.000947637626259627,-0.037966374344536,0.0134166036930863,-0.0421241360449843,-0.0585069375151378,-0.0851359260984101,-0.0438952117638963,-0.0014062530214635,-0.0297497669348713,-0.032372387303313,-0.0163317166157963,-0.0315828493293626,-0.00537983741522463
"T cells CD4 memory resting",0.0803751722709504,-0.0382298615962961,-0.00619677710617773,-0.520063456562014,0.0056393141816145,1,-0.387127361881186,-0.232139443989121,-0.0545653518630231,-0.123759766134518,-0.0192155361215228,0.0540016427731802,0.102627310651327,-0.133564039331967,-0.234611433487327,-0.0125383284224245,0.0464438703891443,-0.0640766650082929,0.0593789470658088,0.047713106656819,0.0303247523339181,0.0494675591998906,-0.153177529068046
"T cells CD4 memory activated",-0.235824429033751,-0.149040608740599,-0.0691952094769149,0.402265977748307,-0.030448671940918,-0.387127361881186,1,0.0901060854423894,-0.335255309564723,0.350254696837451,0.248577883967327,-0.255113119978282,-0.0958874785923991,-0.201723761797711,0.336422412110186,0.0229087294483612,-0.0394302730616067,-0.0049666233409069,-0.197970620629168,-0.102228988150538,0.030323575013059,-0.0351168365228508,0.247560267101344
"T cells follicular helper",0.0121496941569471,0.00517056869293139,-0.0350637933280327,0.217190530977512,-0.0577948448124724,-0.232139443989121,0.0901060854423894,1,0.0352208068601398,-0.0417523534037687,-0.0140859311749703,0.0188160531335499,-0.190286357484105,0.0433698537439681,0.191416162886113,-0.233448272478932,-0.0658003681334285,-0.00549637031069003,-0.185622017702824,-0.0429607759355289,-0.102312978660685,-0.230827414902277,0.0423844064280577
"T cells regulatory (Tregs)",0.193071346118306,0.200407667074197,-0.00980296119697222,0.193534628972628,0.104641775587271,-0.0545653518630231,-0.335255309564723,0.0352208068601398,1,-0.269864772466596,-0.218813558406396,0.18757704891165,-0.112086455130774,-0.112535800179729,-0.0866721582085645,-0.247316752570074,0.0879599190910626,0.0456413292192372,0.088110272136792,-0.200042021605035,-0.260349121908745,-0.311327062938597,-0.0614260478159034
"T cells gamma delta",-0.106214558502646,-0.0185146174012421,-0.0665691196210139,0.0215539579171146,-0.0206308626458404,-0.123759766134518,0.350254696837451,-0.0417523534037687,-0.269864772466596,1,-0.0662826555001588,-0.164552636471949,-0.0799019315627996,-0.104953122926981,0.179372833872129,0.228299970473584,-0.0281294605550037,-0.0490976977118594,0.0475677340087845,-0.104976699306146,0.151839327818188,-0.000272194800125615,0.0485233787338396
"NK cells resting",-0.118631777509727,-0.133874586347021,-0.0579407084226721,-0.138912415418551,0.000947637626259627,-0.0192155361215228,0.248577883967327,-0.0140859311749703,-0.218813558406396,-0.0662826555001588,1,-0.385433874612674,0.0170944306982674,0.161028312991563,-0.0602553759351711,-0.0901083541083036,-0.184944344527006,0.104207836158987,-0.317063736054244,0.272111566134479,0.052251528857861,0.18471848548532,0.235427595144986
"NK cells activated",-0.0534077708962802,0.014966706595097,-0.0456665291940935,0.0952486840584213,-0.037966374344536,0.0540016427731802,-0.255113119978282,0.0188160531335499,0.18757704891165,-0.164552636471949,-0.385433874612674,1,-0.00334527729089784,-0.186696065126434,0.0756570529633358,-0.0361448598319981,0.10235338750998,-0.0728424337667065,0.376222581030486,-0.230767120654217,-0.13542998221255,-0.0948792209065663,-0.0787552458934226
"Monocytes",-0.0404973325706855,-0.0473506699342342,-0.0570405862623379,0.0221446326037369,0.0134166036930863,0.102627310651327,-0.0958874785923991,-0.190286357484105,-0.112086455130774,-0.0799019315627996,0.0170944306982674,-0.00334527729089784,1,-0.205053251818976,-0.0960677524710637,0.157871998527859,0.102192147455213,0.00538561609509938,0.119912764482566,-0.0279520735528301,0.378761037556823,0.114053525299962,-0.063068133363105
"Macrophages M0",-0.115970561194279,-0.163897220509777,-0.173418220137707,-0.434110946565446,-0.0421241360449843,-0.133564039331967,-0.201723761797711,0.0433698537439681,-0.112535800179729,-0.104953122926981,0.161028312991563,-0.186696065126434,-0.205053251818976,1,-0.154634207766887,-0.0478964490504123,-0.298636718969579,-0.0947588468887917,-0.277092222751403,0.294177531619508,-0.065295634553302,0.0473119683099196,-0.0335239710383449
"Macrophages M1",-0.180328989177664,-0.185860754356673,-0.110787412039012,0.262566190242711,-0.0585069375151378,-0.234611433487327,0.336422412110186,0.191416162886113,-0.0866721582085645,0.179372833872129,-0.0602553759351711,0.0756570529633358,-0.0960677524710637,-0.154634207766887,1,0.0228707458924244,0.0691040806434369,-0.251369620311868,0.00690433596178705,-0.257702444219926,-0.0867619804655432,-0.221902028552028,0.191757542626809
"Macrophages M2",-0.250329798300063,-0.243403040551963,-0.269042883385107,-0.139848836637182,-0.0851359260984101,-0.0125383284224245,0.0229087294483612,-0.233448272478932,-0.247316752570074,0.228299970473584,-0.0901083541083036,-0.0361448598319981,0.157871998527859,-0.0478964490504123,0.0228707458924244,1,0.151514821528635,-0.158636632152885,0.126848695994662,-0.125704189969507,0.166330462848643,0.11913938201666,-0.0375700269785248
"Dendritic cells resting",-0.117791277758539,-0.0783382440554167,-0.00724469976764025,0.0589499536569563,-0.0438952117638963,0.0464438703891443,-0.0394302730616067,-0.0658003681334285,0.0879599190910626,-0.0281294605550037,-0.184944344527006,0.10235338750998,0.102192147455213,-0.298636718969579,0.0691040806434369,0.151514821528635,1,-0.163686920918818,0.16567705707654,-0.165493400676644,0.0552764105649405,-0.0967366141088436,-0.045379476364868
"Dendritic cells activated",0.0134635797477481,0.0771229008865051,0.0419578386955686,-0.0655459724483415,-0.0014062530214635,-0.0640766650082929,-0.0049666233409069,-0.00549637031069003,0.0456413292192372,-0.0490976977118594,0.104207836158987,-0.0728424337667065,0.00538561609509938,-0.0947588468887917,-0.251369620311868,-0.158636632152885,-0.163686920918818,1,-0.0405475423919166,0.212112779117475,0.0101663133743294,0.20396973405955,0.0546603319097984
"Mast cells resting",0.0282360289023567,0.0499338061278111,-0.061055489147201,0.019729816601837,-0.0297497669348713,0.0593789470658088,-0.197970620629168,-0.185622017702824,0.088110272136792,0.0475677340087845,-0.317063736054244,0.376222581030486,0.119912764482566,-0.277092222751403,0.00690433596178705,0.126848695994662,0.16567705707654,-0.0405475423919166,1,-0.401127996481252,-0.0310681833695306,-0.0799471145897415,-0.0716734069664756
"Mast cells activated",-0.100338891084942,-0.136125738418099,-0.13385178344573,-0.324872922664852,-0.032372387303313,0.047713106656819,-0.102228988150538,-0.0429607759355289,-0.200042021605035,-0.104976699306146,0.272111566134479,-0.230767120654217,-0.0279520735528301,0.294177531619508,-0.257702444219926,-0.125704189969507,-0.165493400676644,0.212112779117475,-0.401127996481252,1,0.0994845716711961,0.324039711712161,-0.0383002912578952
"Eosinophils",-0.121781614431549,-0.0551073712181014,-0.0775868511259836,-0.111611122781091,-0.0163317166157963,0.0303247523339181,0.030323575013059,-0.102312978660685,-0.260349121908745,0.151839327818188,0.052251528857861,-0.13542998221255,0.378761037556823,-0.065295634553302,-0.0867619804655432,0.166330462848643,0.0552764105649405,0.0101663133743294,-0.0310681833695306,0.0994845716711961,1,0.238757058980753,-0.0167544249213478
"Neutrophils",-0.116226327163335,-0.110427455422791,-0.103871387749023,-0.291911161967559,-0.0315828493293626,0.0494675591998906,-0.0351168365228508,-0.230827414902277,-0.311327062938597,-0.000272194800125615,0.18471848548532,-0.0948792209065663,0.114053525299962,0.0473119683099196,-0.221902028552028,0.11913938201666,-0.0967366141088436,0.20396973405955,-0.0799471145897415,0.324039711712161,0.238757058980753,1,-0.0371651465368473
"PD-L1",-0.118004716452189,-0.0386249331465972,0.0207483950534743,0.111890634396076,-0.00537983741522463,-0.153177529068046,0.247560267101344,0.0423844064280577,-0.0614260478159034,0.0485233787338396,0.235427595144986,-0.0787552458934226,-0.063068133363105,-0.0335239710383449,0.191757542626809,-0.0375700269785248,-0.045379476364868,0.0546603319097984,-0.0716734069664756,-0.0383002912578952,-0.0167544249213478,-0.0371651465368473,1
